1,Psalms Intro-1:1
1,Psalms 1
1,Psalms 2
1,"Psalms 3, 4"
1,Psalms 5-7
1,Psalms 8
1,Psalms 9:1-11:1
1,Psalms 10:4-12:8
1,Psalms 13-15
1,"Psalms 16, 17"
1,"Psalms 17, 18"
1,"Psalms 19, 20"
1,"Psalms 21, 22"
1,Psalms 22
1,"Psalms 23, 24"
1,Psalms 25:1-27:1
1,"Psalms 27, 28"
1,"Psalms 29, 30"
1,Psalms 30:2-32:1
1,"Psalms 32, 33"
1,"Psalms 34, 35"
1,Psalms 36-38
1,Psalms 39-41
1,Psalms 42:1-44:4
1,Psalms 44:4-45:17
1,Psalms 46-48
1,"Psalms 49, 50"
1,Psalm 51
1,Psalms 52-55
1,Psalms 56-60
1,Psalms 61-66
1,"Psalms 67, 68"
1,Psalms 69-72
1,Psalms 73-75
1,Psalms 76-78
1,Psalms 79-81
1,Psalms 82-84
1,Psalms 85-88
1,"Psalms 89, 90"
1,Psalms 91-99
1,Psalms 100-102
1,Psalms 103-106
1,Psalms 107:1-110:1
1,Psalms 109-113
1,Psalms 114-116
1,"Psalms 117, 118"
1,Psalm 119
1,Psalms 120-123
1,Psalms 122-131
1,Psalms 132-136
1,"Psalms 137, 138"
1,"Psalms 138, 139"
1,Psalms 140-143
1,Psalms 144-150
2,Galatians Intro-1:1
2,Galatians 1:2-10
2,Galatians 1:11-24
2,Galatians 2:1-14
2,Galatians 2:14-20
2,Galatians 2:19-3:5
2,Galatians 3:4-7
2,Galatians 3:8-17
2,Galatians 3:13-22
2,Galatians 3:19-29
2,Galatians 4:1-7
2,Galatians 4:6-24
2,Galatians 4:9-31
2,Galatians 5:1-4
2,Galatians 5:5-16
2,Galatians 5:16-21
2,Galatians 5:22-26
2,Galatians 6:1-5
2,Galatians 6:6-11
2,Galatians 6:11-18
3,Job 1:1-5
3,Job 1:6-2:3
3,Job 2:4-3:12
3,Job 3:13-26
3,Job 4:1-5:7
3,Job 5:7-6:15
3,Job 6:15-8:22
3,"Job 9, 10"
3,Job 11:1-13:4
3,Job 13:3-15:35
3,Job 16:1-18:2
3,Job 18:1-20:3
3,Job 20:1-22:2
3,"Job 22, 23"
3,Job 24:1-26:7
3,Job 26:7-28:28
3,"Job 29, 30"
3,Job 31:1-32:3
3,"Job 32, 33"
3,"Job 32, 33"
3,"Job 34, 35"
